instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Jun-28 09:00:00 (49%)
2097-Jun-28 20:00:00 (49.1%)
2097-Jun-29 07:00:00 (49.3%)
2097-Jun-29 18:00:00 (49.4%)
2097-Jun-30 05:00:00 (49.5%)
2097-Jun-30 16:00:00 (49.6%)
2097-Jul-01 04:00:00 (49.8%)
2097-Jul-01 15:00:00 (49.9%)
2097-Jul-02 02:00:00 (50%)
2097-Jul-02 13:00:00 (50.1%)
2097-Jul-03 00:00:00 (50.3%)
2097-Jul-03 11:00:00 (50.4%)
2097-Jul-03 22:00:00 (50.5%)
2097-Jul-04 09:00:00 (50.6%)
2097-Jul-04 20:00:00 (50.8%)
2097-Jul-05 07:00:00 (50.9%)
2097-Jul-05 17:00:00 (51%)
2097-Jul-06 04:00:00 (51.1%)
2097-Jul-06 15:00:00 (51.3%)
2097-Jul-07 02:00:00 (51.4%)
2097-Jul-07 13:00:00 (51.5%)
2097-Jul-08 00:00:00 (51.6%)
2097-Jul-08 11:00:00 (51.8%)
2097-Jul-08 22:00:00 (51.9%)
2097-Jul-09 09:00:00 (52%)
2097-Jul-09 20:00:00 (52.1%)
2097-Jul-10 07:00:00 (52.3%)
2097-Jul-10 18:00:00 (52.4%)
2097-Jul-11 05:00:00 (52.5%)
2097-Jul-11 16:00:00 (52.6%)
2097-Jul-12 03:00:00 (52.8%)
2097-Jul-12 14:00:00 (52.9%)
2097-Jul-13 01:00:00 (53%)
2097-Jul-13 12:00:00 (53.1%)
2097-Jul-13 23:00:00 (53.3%)
2097-Jul-14 10:00:00 (53.4%)
2097-Jul-14 22:00:00 (53.5%)
2097-Jul-15 08:00:00 (53.6%)
2097-Jul-15 19:00:00 (53.8%)
2097-Jul-16 06:00:00 (53.9%)
2097-Jul-16 17:00:00 (54%)
2097-Jul-17 04:00:00 (54.1%)
2097-Jul-17 15:00:00 (54.3%)
2097-Jul-18 02:00:00 (54.4%)
2097-Jul-18 13:00:00 (54.5%)
2097-Jul-19 00:00:00 (54.6%)
2097-Jul-19 11:00:00 (54.8%)
2097-Jul-19 22:00:00 (54.9%)
2097-Jul-20 10:00:00 (55%)
2097-Jul-20 21:00:00 (55.2%)
2097-Jul-21 08:00:00 (55.3%)
2097-Jul-21 19:00:00 (55.4%)
2097-Jul-22 06:00:00 (55.5%)
2097-Jul-22 17:00:00 (55.7%)
2097-Jul-23 04:00:00 (55.8%)
2097-Jul-23 15:00:00 (55.9%)
2097-Jul-24 01:00:00 (56%)
2097-Jul-24 12:00:00 (56.1%)
2097-Jul-24 23:00:00 (56.3%)
2097-Jul-25 10:00:00 (56.4%)
2097-Jul-25 21:00:00 (56.5%)
2097-Jul-26 08:00:00 (56.6%)
2097-Jul-26 19:00:00 (56.8%)
2097-Jul-27 06:00:00 (56.9%)
2097-Jul-27 17:00:00 (57%)
2097-Jul-28 04:00:00 (57.1%)
2097-Jul-28 15:00:00 (57.3%)
2097-Jul-29 02:00:00 (57.4%)
2097-Jul-29 13:00:00 (57.5%)
2097-Jul-30 00:00:00 (57.7%)
2097-Jul-30 11:00:00 (57.8%)
2097-Jul-30 22:00:00 (57.9%)
2097-Jul-31 09:00:00 (58%)
2097-Jul-31 20:00:00 (58.2%)
2097-Aug-01 07:00:00 (58.3%)
2097-Aug-01 18:00:00 (58.4%)
2097-Aug-02 05:00:00 (58.5%)
2097-Aug-02 16:00:00 (58.7%)
2097-Aug-03 03:00:00 (58.8%)
2097-Aug-03 14:00:00 (58.9%)
2097-Aug-04 01:00:00 (59%)
2097-Aug-04 12:00:00 (59.2%)
2097-Aug-04 23:00:00 (59.3%)
2097-Aug-05 10:00:00 (59.4%)
2097-Aug-05 21:00:00 (59.5%)
2097-Aug-06 08:00:00 (59.7%)
2097-Aug-06 19:00:00 (59.8%)
2097-Aug-07 06:00:00 (59.9%)
2097-Aug-07 17:00:00 (60%)
2097-Aug-08 04:00:00 (60.2%)
2097-Aug-08 15:00:00 (60.3%)
2097-Aug-09 02:00:00 (60.4%)
2097-Aug-09 13:00:00 (60.5%)
2097-Aug-10 00:00:00 (60.7%)
2097-Aug-10 11:00:00 (60.8%)
